filename,class
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00486.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00866.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11131.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16250.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05886.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13480.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_20060.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27965.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00687.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28000.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_02710.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16215.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14408.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18615.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01976.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26518.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26475.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_10385.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_25058.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_24667.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11441.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17112.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_22741.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03390.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14033.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28388.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_09509.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08368.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_20580.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15897.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11443.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06611.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27110.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_10453.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18944.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27097.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01061.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11683.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15543.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21333.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21968.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_22244.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00403.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13375.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21132.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_24545.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12467.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14383.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13673.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06702.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23907.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03515.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06117.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11015.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08562.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13317.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03551.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_10831.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28727.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15446.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_07625.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04104.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26382.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28852.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04303.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01057.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08598.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11909.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15278.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06042.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00217.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_02968.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_25470.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19964.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_20167.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15483.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08423.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23278.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26949.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17884.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_29018.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12121.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21918.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27648.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08619.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21347.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04699.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_10665.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17555.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_07969.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00363.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_02142.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27211.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01411.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_09110.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03367.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15203.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05106.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06037.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_29095.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08785.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21969.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05310.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28753.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26942.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18823.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28955.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26810.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16708.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_02813.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08803.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05451.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11104.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15505.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17549.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17424.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17998.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05232.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_20978.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12432.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_26772.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03890.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_22889.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19007.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03145.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16044.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19784.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03732.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_07785.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21486.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05166.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03313.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01363.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27561.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_22962.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12444.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12530.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15862.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03060.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19649.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00684.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06557.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14181.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17849.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00899.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23078.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05242.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21060.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12848.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_22217.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21340.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27111.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13571.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_20061.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12466.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03088.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23118.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05139.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_02086.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18765.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03904.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04060.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18374.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11431.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27701.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_09523.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17824.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14073.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_15802.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05814.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16908.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03251.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05700.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00605.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14858.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18314.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11619.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17812.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12704.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04367.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_18676.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_25271.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_16850.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_24731.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28079.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_10092.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19051.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03407.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06608.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03184.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_02047.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_13047.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17775.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06241.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28914.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00418.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01575.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_07694.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_21680.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00071.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06436.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_17500.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00308.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_25080.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27997.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27689.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23098.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_27352.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23660.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12272.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_25187.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23242.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_09849.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14158.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_25764.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03773.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19780.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28171.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03776.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_23601.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04183.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05872.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06445.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_14302.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_00819.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_02663.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_19975.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28516.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_05964.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12487.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_08895.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28997.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_12685.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_11680.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_28894.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_06185.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_09858.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_10257.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_04957.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_07651.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_20737.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_24416.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_01543.png,yes
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_03162.png,no
.\Data\Preprocessed_Data\train_images\labelled_data_cropped\train_20035.png,no
